STOP_ID,HASTUS_CROSS_STREET_NAME,XCOORD,YCOORD,ROUTE_LIST,lon,lat
75410,Pend Oreille Rd,1277849.1,243239.1,null,-122.30461970635653,47.6573282701656
75411,Chelan Ln,1277315.7,243988.0,null,-122.30684187771216,47.65935301675967
75412,George Washington Ln NE,1276233.2,242458.5,null,-122.31111454294438,47.65510378341929
75413,Rainier Vis NE,1277242.8,241339.3,null,-122.30693184607294,47.652089147108285
76086,NE 195th St,1309232.5,283688.7,null,-122.18016656210281,47.769776664874804
76087,NE 195th St,1309231.7,283608.7,null,-122.18016412160885,47.769557342505415
76090,94th Pl NE,1300861.3,282686.9,null,-122.21412958031378,47.76662400679755
76091,Woodinville Redmond Rd,1311767.5,277612.2,null,-122.16943051850532,47.75324178180925
76092,128th Pl NE,1311690.8,277491.9,null,-122.16973378145131,47.752908381463996
76095,NE 145th St,1315755.2,270290.2,null,-122.15271174824866,47.733360297668035
76096,Stimson Ln,1316274.2,270110.1,null,-122.15059049108599,47.73289100301914
76097,Stimson Ln,1316260.2,270110.6,null,-122.1506474082536,47.73289171661722
76098,148th Ave NE,1318056.5,270035.6,null,-122.14334379164349,47.732770194025534
76099,148th Ave NE,1318054.9,270035.7,null,-122.14335029940047,47.732770393469096
76100,Bothell Way NE,1301876.1,282319.1,null,-122.20997704242244,47.76566569498132
76105,15th Ave SE,1301340.0,291689.3,null,-122.21283952975548,47.79132336260846
76108,NE 195th St,1309231.8,283613.2,null,-122.18016403526306,47.76956968202749
77055,NE 146th Way,1333275.4,270151.9,null,-122.08151585359434,47.73378241746823
77057,Mink Rd NE,1338360.0,277778.3,null,-122.06135074704862,47.75491154078503
77059,Cottage Lake Park AcRd,1331924.7,279012.4,null,-122.0875907686932,47.75800983500733
77061,185th Ave NE,1331115.4,279555.8,null,-122.09091671211861,47.75946314556909
77062,Cottage Lake Park AcRd,1331887.2,279038.1,null,-122.08774491113675,47.758078605903144
77063,NE 172nd St,1333445.9,276653.0,null,-122.08125146458062,47.75161025391574
77064,NE 168th St,1333390.4,276251.4,null,-122.08145057123978,47.75050695573235
77065,NE 165th St,1333249.4,275096.4,null,-122.08194748728963,47.74733470029452
